Street 1,Street 2,Latitude,Longitude,Normalized Bike Accidents
Lake Shore Blvd E,Carlaw Ave,43.655081,-79.337519,0.0588888889
Queen St W,Niagara St,43.64602,-79.40993,0.0527888446
Queen St E,River St,43.6573374,-79.356489,0.0459652707
Bathurst St,Davenport Rd,43.6766969,-79.415765,0.0456890199
Avenue Rd,Lonsdale Rd,43.690773,-79.403027,0.0455015512
Bloor St W,Brock Ave,43.6591,-79.43918,0.0428692699
Bloor St W,St Thomas St,43.6692,-79.39189,0.0425652667
Lake Shore Blvd W,Jameson Ave,43.6333865,-79.434586,0.0423031727
Bloor St E,Castle Frank Rd,43.6738355,-79.36812,0.0395025604
Bloor St E,Parliament St,43.672016,-79.370764,0.0384615385
Ossington Ave,Harbord St,43.65854,-79.42431,0.0380368098
Bloor St W,Havelock St,43.660505,-79.4324209,0.0373280943
Dundas St W,Sorauren Ave,43.6511963,-79.445285,0.0344129555
Rogers Rd,Nairn Ave,43.6842,-79.45169,0.0340206186
Gerrard St E,Greenwood Ave,43.6709147,-79.327997,0.0336045278
Broadview Ave,Gerrard St E,43.6654793,-79.352604,0.033307312
Bloor St W,Keele St,43.6546856,-79.459966,0.0331935709
Avenue Rd,Dupont St,43.67719,-79.397579,0.0331219168
Dundas St W,Annette St,43.6645,-79.45868,0.0324232082
College St,Crawford St,43.65519,-79.41901,0.0322404372
Avenue Rd,Chaplin Cres,43.698761,-79.406076,0.0321361059
Willowdale Ave,Empress Ave,43.77149,-79.40281,0.0320247934
Queen St W,Dovercourt Rd,43.64351,-79.4224,0.0319047619
Sheppard Ave W,Oakdale Rd,43.73698,-79.52376,0.0313253012
Lake Shore Blvd W,Parkside Dr,43.638362,-79.45353,0.0309633028
Dupont St,Edwin Ave,43.66491,-79.45549,0.0307907628
Jane St,400 S Jane St Ramp,43.711040775,-79.505969882,0.0301142264
Avenue Rd,Davenport Rd,43.674705,-79.396651,0.0300494485
Lawrence Ave W,Bennett Rd,43.77289,-79.16632,0.0294450736
Dufferin St,Shanly St,43.66299,-79.43666,0.0292537313
Carlton St,Church St,43.6616,-79.3807,0.0291666667
Dufferin St,Brandon Ave,43.67046,-79.43987,0.0291568164
Warden Ave,Mcnicoll Ave,43.80637,-79.32095,0.0289296046
Yonge St,Yorkville Ave,43.67163,-79.38734,0.028890348
Lawrence Ave E,Overture Rd,43.76549,-79.19946,0.0287128713
Davenport Rd,Dupont St,43.6757919,-79.402557,0.0285412262
Browns Line,Horner Ave,43.60169,-79.54523,0.0285374554
Eastern Ave,Coxwell Ave,43.66597,-79.31427,0.0284414107
Lansdowne Ave,Dupont St,43.66675,-79.44642,0.0283105023
Rathburn Rd,The West Mall,43.65302,-79.57255,0.0281810418
Dundas St E,Coxwell Ave,43.6686596,-79.3175222,0.0280811232
The Queensway,Kipling Ave,43.62098,-79.52673,0.0277246654
Lake Shore Blvd W,Strachan Ave,43.634499,-79.408721,0.0274977085
O Connor Dr,Don Mills Rd,43.69557,-79.33963,0.0274599542
Royal York Rd,Evans Ave,43.62102,-79.50034,0.0270491803
Bayview Ave,River St,43.6658819,-79.357365,0.0269922879
Bloor St W,Dovercourt Rd,43.661163,-79.4294309,0.0267165375
Bayview Ave,401 C W Bayview Ramp,43.764483,-79.387379,0.0265251989
Queen St W,Gladstone Ave,43.64252,-79.42717,0.0263917526
Lake Shore Blvd W,Park Lawn Rd,43.623005474,-79.481143355,0.026371308
